name, order, ra, dec, slopes[0], slopes[1],  slopes_sigma[0], slopes_sigma[1], change_point, change_point_sigma, log_marginal_likelihood
Source_RA:5d49m16.79490091s_DEC:-25d36m27.14634248s, 1, 5.821331916918065, -25.60754065068975, -0.9710571500186996, 0.162794388654032, 0.3689280277147074, 0.864953115937439, [1.3774710021289098], [0.15549799764571745], 66.73931992842937
Source_RA:5d49m16.24038551s_DEC:-25d49m45.83445211s, 1, 5.821177884863191, -25.82939845892034, -1.2336426420952709, -0.9688345846988182, 0.1618635956065158, 1.004365638858168, [1.401856984693305], [0.19412814572928622], 71.70671425238363
Source_RA:5d48m52.22509207s_DEC:-25d32m46.03540557s, 1, 5.814506970019605, -25.54612094599221, -1.3800636462095517, 0.8075668476098373, 0.26096605468006084, 1.5469055795880706, [1.4580613707230332], [0.11201895452150841], 63.05916132815306
Source_RA:5d47m25.88109846s_DEC:-25d21m58.09715951s, 1, 5.7905225273494, -25.366138099865257, -0.7954123638491506, -0.5992649374653513, 0.6953526105874693, 1.3021967384890483, [1.314150623613409], [0.2399404202852881], 64.29363576978925
Source_RA:5d47m33.87489256s_DEC:-26d18m32.62173755s, 1, 5.792743025711797, -26.309061593764625, -0.29026596604893207, 0.07600888108640608, 0.5456397496167125, 1.5352826282633238, [1.3432517871163863], [0.2129885640544673], 57.89461735757818
Source_RA:5d47m12.00616014s_DEC:-26d02m16.59366821s, 1, 5.786668377817078, -26.037942685614848, -0.7662069099033132, 0.7570543782330973, 0.02058885505639644, 0.1001445529315158, [1.4127231717714837], [0.010140956373100602], 53.103654731589565
Source_RA:5d46m50.96484888s_DEC:-25d35m31.86209918s, 1, 5.780823569133121, -25.592183916437964, 0.05876276242308231, 1.5760478867583045, 0.04900911364703103, 0.9053978540718889, [1.5518623761165253], [0.04849254565207947], 70.50619749479374
Source_RA:5d46m29.47434798s_DEC:-26d15m59.10905081s, 1, 5.774853985549202, -26.266419180779977, -0.3560638565332094, 1.8177088315136034, 0.07953564343353968, 0.36987633036787976, [1.4165970886717965], [0.025105244873658956], 59.48112063385247
Source_RA:5d45m43.32640061s_DEC:-25d26m58.75656997s, 1, 5.762035111279311, -25.44965460276925, -1.0553578001527983, -0.19750041156371284, 0.4552000422575194, 1.5680979816452931, [1.3935616442032293], [0.19796986051302917], 65.48645273187132
Source_RA:5d44m43.41407124s_DEC:-25d28m31.66874103s, 1, 5.745392797567925, -25.4754635391741, -1.1144860129043113, 0.8713548517414159, 0.22540441423378824, 0.6979874302024839, [1.407083113463305], [0.07120059140863125], 66.86908063060004
